method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp
2a-Qwen3-8B-coverage-k3,classifier-2a,Qwen3-8B coverage top-3,0.7857,0.0833,0.4615,0.4345,-0.5,0.5977,-0.3838,0.0529,26,14,12,2026-03-13T21:56:49.088943+00:00
2a-Qwen3-8B-coverage-k5,classifier-2a,Qwen3-8B coverage top-5,0.7857,0.0,0.4231,0.3929,-1.0,0.2204,-0.5378,0.0046,26,14,12,2026-03-13T21:56:49.665451+00:00
2a-Qwen3-8B-coverage-k10,classifier-2a,Qwen3-8B coverage top-10,0.8571,0.0833,0.5,0.506,0.0435,1.0,-0.0398,0.8469,26,14,12,2026-03-13T21:56:50.223444+00:00
2a-Qwen3-8B-comparative-k3,classifier-2a,Qwen3-8B comparative top-3,0.0,0.9167,0.4231,0.4494,-0.4595,0.4717,-0.1677,0.4129,26,14,12,2026-03-13T21:56:50.897890+00:00
2a-Qwen3-8B-comparative-k5,classifier-2a,Qwen3-8B comparative top-5,0.0,1.0,0.4615,0.5357,1.0,1.0,0.2267,0.2654,26,14,12,2026-03-13T21:56:51.581472+00:00
2a-Qwen3-8B-comparative-k10,classifier-2a,Qwen3-8B comparative top-10,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T21:56:52.351703+00:00
2a-Qwen3-14B-coverage-k3,classifier-2a,Qwen3-14B coverage top-3,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T22:17:13.985373+00:00
2a-Qwen3-14B-coverage-k5,classifier-2a,Qwen3-14B coverage top-5,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T22:17:14.577018+00:00
2a-Qwen3-14B-coverage-k10,classifier-2a,Qwen3-14B coverage top-10,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T22:17:15.169314+00:00
2a-Qwen3-14B-comparative-k3,classifier-2a,Qwen3-14B comparative top-3,0.0,0.8333,0.3846,0.4167,-1.0,0.4863,-0.2695,0.1831,26,14,12,2026-03-13T22:17:15.763000+00:00
2a-Qwen3-14B-comparative-k5,classifier-2a,Qwen3-14B comparative top-5,0.0,0.9167,0.4231,0.4583,-1.0,1.0,-0.3334,0.096,26,14,12,2026-03-13T22:17:16.456789+00:00
2a-Qwen3-14B-comparative-k10,classifier-2a,Qwen3-14B comparative top-10,0.0714,0.8333,0.4231,0.4554,-0.4054,0.5801,0.0814,0.6927,26,14,12,2026-03-13T22:17:17.218782+00:00
2a-Qwen3-14B-Think-coverage-k3,classifier-2a,Qwen3-14B-Think coverage top-3,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T23:44:01.878758+00:00
2a-Qwen3-14B-Think-coverage-k5,classifier-2a,Qwen3-14B-Think coverage top-5,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T23:44:02.456833+00:00
2a-Qwen3-14B-Think-coverage-k10,classifier-2a,Qwen3-14B-Think coverage top-10,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T23:44:03.027695+00:00
2a-Qwen3-14B-Think-comparative-k3,classifier-2a,Qwen3-14B-Think comparative top-3,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T23:44:03.612302+00:00
2a-Qwen3-14B-Think-comparative-k5,classifier-2a,Qwen3-14B-Think comparative top-5,0.2143,0.8333,0.5,0.5238,0.1538,1.0,0.0065,0.9748,26,14,12,2026-03-13T23:44:04.192258+00:00
2a-Qwen3-14B-Think-comparative-k10,classifier-2a,Qwen3-14B-Think comparative top-10,0.0,0.8333,0.3846,0.4167,-1.0,0.4831,-0.4235,0.0311,26,14,12,2026-03-13T23:44:04.826915+00:00
2a-R1-7B-coverage-k3,classifier-2a,R1-7B coverage top-3,0.8571,0.25,0.5769,0.494,-0.027,1.0,-0.2296,0.2593,26,14,12,2026-03-13T23:51:12.739097+00:00
2a-R1-7B-coverage-k5,classifier-2a,R1-7B coverage top-5,0.8571,0.1667,0.5385,0.5089,0.0638,0.9342,-0.1972,0.3344,26,14,12,2026-03-13T23:51:13.340619+00:00
2a-R1-7B-coverage-k10,classifier-2a,R1-7B coverage top-10,0.9286,0.0,0.5,0.4286,-1.0,0.4801,-0.4209,0.0323,26,14,12,2026-03-13T23:51:13.917300+00:00
2a-R1-7B-comparative-k3,classifier-2a,R1-7B comparative top-3,0.0,1.0,0.4615,0.5685,0.2371,0.6321,0.0967,0.6383,26,14,12,2026-03-13T23:51:14.733403+00:00
2a-R1-7B-comparative-k5,classifier-2a,R1-7B comparative top-5,0.0,1.0,0.4615,0.4167,-0.4118,0.3671,-0.151,0.4616,26,14,12,2026-03-13T23:51:15.565151+00:00
2a-R1-7B-comparative-k10,classifier-2a,R1-7B comparative top-10,0.0,0.9167,0.4231,0.3214,-0.6522,0.072,-0.4399,0.0245,26,14,12,2026-03-13T23:51:16.148454+00:00
2a-R1-14B-coverage-k3,classifier-2a,R1-14B coverage top-3,0.2857,0.6667,0.4615,0.5119,0.0476,1.0,-0.0678,0.7423,26,14,12,2026-03-14T00:02:33.825786+00:00
2a-R1-14B-coverage-k5,classifier-2a,R1-14B coverage top-5,0.3571,0.6667,0.5,0.4494,-0.165,0.6753,-0.1431,0.4857,26,14,12,2026-03-14T00:02:34.413799+00:00
2a-R1-14B-coverage-k10,classifier-2a,R1-14B coverage top-10,0.2857,0.5,0.3846,0.4226,-0.2097,0.4955,-0.0733,0.7219,26,14,12,2026-03-14T00:02:35.053957+00:00
2a-R1-14B-comparative-k3,classifier-2a,R1-14B comparative top-3,0.0,1.0,0.4615,0.4256,-0.3333,0.4963,-0.1182,0.5652,26,14,12,2026-03-14T00:02:35.929187+00:00
2a-R1-14B-comparative-k5,classifier-2a,R1-14B comparative top-5,0.0714,1.0,0.5,0.6071,1.0,0.2152,0.2993,0.1375,26,14,12,2026-03-14T00:02:36.704458+00:00
2a-R1-14B-comparative-k10,classifier-2a,R1-14B comparative top-10,0.0,0.9167,0.4231,0.5238,0.1053,0.794,-0.0053,0.9796,26,14,12,2026-03-14T00:02:37.295973+00:00
