qid,preference,study1_docs,study2_docs,study1_clicks_per_doc,study2_clicks_per_doc,normalized_gain,normalized_gain_pct
104861,PRF-Benefit,8,9,13.75,16.444444444444443,2.694444444444443,19.595959595959584
130510,PRF-Benefit,9,9,15.0,17.333333333333332,2.333333333333332,15.555555555555548
131843,PRF-Benefit,8,9,13.75,14.666666666666666,0.9166666666666661,6.6666666666666625
146187,PRF-Hurt,9,9,13.333333333333334,13.333333333333334,0.0,0.0
148538,PRF-Benefit,8,9,12.75,16.0,3.25,25.49019607843137
156493,Neutral,8,8,18.625,19.375,0.75,4.026845637583892
1037798,PRF-Benefit,9,9,10.88888888888889,18.444444444444443,7.555555555555554,69.3877551020408
1063750,PRF-Hurt,8,9,7.0,13.88888888888889,6.888888888888889,98.41269841269842
1103812,PRF-Hurt,9,9,9.11111111111111,12.88888888888889,3.7777777777777786,41.46341463414635
1106007,Neutral,8,8,18.0,24.375,6.375,35.41666666666667
1110199,PRF-Benefit,9,9,14.222222222222221,19.88888888888889,5.666666666666668,39.843750000000014
1112341,PRF-Hurt,9,9,6.333333333333333,10.555555555555555,4.222222222222222,66.66666666666667
1113437,Neutral,8,8,16.5,20.25,3.75,22.727272727272727
1114646,Neutral,9,9,15.88888888888889,20.666666666666668,4.777777777777779,30.069930069930074
1114819,Neutral,8,8,17.5,21.375,3.875,22.142857142857142
1115776,PRF-Hurt,8,9,9.875,12.222222222222221,2.3472222222222214,23.76933895921237
1117099,Neutral,9,9,15.555555555555555,17.555555555555557,2.0000000000000018,12.85714285714287
1121402,Insufficient-Data,8,8,18.875,21.5,2.625,13.90728476821192
1121709,Insufficient-Data,9,9,5.111111111111111,9.88888888888889,4.777777777777779,93.47826086956525
1124210,Neutral,8,8,12.875,17.375,4.5,34.95145631067961
1129237,Neutral,9,9,14.444444444444445,17.666666666666668,3.222222222222223,22.307692307692314
1133167,Neutral,9,9,18.444444444444443,23.333333333333332,4.888888888888889,26.506024096385545
19335,PRF-Benefit,8,9,10.25,13.555555555555555,3.3055555555555554,32.24932249322493
47923,Neutral,8,8,18.125,16.875,-1.25,-6.896551724137931
87181,Neutral,9,9,17.444444444444443,17.11111111111111,-0.33333333333333215,-1.9108280254777004
87452,PRF-Hurt,8,9,2.375,6.666666666666667,4.291666666666667,180.70175438596493
168216,Neutral,9,9,19.77777777777778,18.88888888888889,-0.8888888888888893,-4.494382022471912
182539,Neutral,9,9,7.333333333333333,10.666666666666666,3.333333333333333,45.45454545454545
183378,Neutral,8,8,16.625,17.25,0.625,3.7593984962406015
207786,Neutral,9,9,8.11111111111111,9.333333333333334,1.2222222222222232,15.068493150684944
264014,Neutral,8,8,18.5,19.875,1.375,7.4324324324324325
359349,PRF-Hurt,9,9,14.555555555555555,15.666666666666666,1.1111111111111107,7.63358778625954
405717,PRF-Benefit,9,9,9.88888888888889,11.88888888888889,2.0,20.224719101123593
443396,PRF-Benefit,8,9,8.625,11.0,2.375,27.536231884057973
451602,PRF-Hurt,8,9,9.625,17.333333333333332,7.708333333333332,80.08658008658007
489204,PRF-Hurt,9,9,11.666666666666666,13.11111111111111,1.4444444444444446,12.380952380952383
490595,Neutral,9,9,15.11111111111111,17.555555555555557,2.4444444444444464,16.176470588235308
527433,Neutral,9,9,6.222222222222222,10.0,3.7777777777777777,60.71428571428571
573724,Neutral,9,9,17.333333333333332,24.0,6.666666666666668,38.46153846153847
833860,Neutral,8,8,9.0,17.375,8.375,93.05555555555556
855410,PRF-Hurt,8,9,5.75,10.777777777777779,5.027777777777779,87.43961352657006
915593,Neutral,8,8,12.75,18.875,6.125,48.03921568627451
962179,PRF-Hurt,9,9,14.666666666666666,19.555555555555557,4.888888888888891,33.33333333333335
