qid,preference,relative_improvement
104861,PRF-Benefit,34.54545454545455
130510,PRF-Benefit,15.555555555555555
131843,PRF-Benefit,20.0
146187,PRF-Hurt,0.0
148538,PRF-Benefit,41.17647058823529
156493,Neutral,4.026845637583892
1037798,PRF-Benefit,69.38775510204081
1063750,PRF-Hurt,123.21428571428572
1103812,PRF-Hurt,41.46341463414634
1106007,Neutral,35.41666666666667
1110199,PRF-Benefit,39.84375
1112341,PRF-Hurt,66.66666666666666
1113437,Neutral,22.727272727272727
1114646,Neutral,30.069930069930066
1114819,Neutral,22.142857142857142
1115776,PRF-Hurt,39.24050632911392
1117099,Neutral,12.857142857142856
1121402,Insufficient-Data,13.90728476821192
1121709,Insufficient-Data,93.47826086956522
1124210,Neutral,34.95145631067961
1129237,Neutral,22.30769230769231
1133167,Neutral,26.506024096385545
19335,PRF-Benefit,48.78048780487805
47923,Neutral,-6.896551724137931
87181,Neutral,-1.910828025477707
87452,PRF-Hurt,215.78947368421052
168216,Neutral,-4.49438202247191
182539,Neutral,45.45454545454545
183378,Neutral,3.7593984962406015
207786,Neutral,15.068493150684931
264014,Neutral,7.4324324324324325
359349,PRF-Hurt,7.633587786259542
405717,PRF-Benefit,20.224719101123593
443396,PRF-Benefit,43.47826086956522
451602,PRF-Hurt,102.59740259740259
489204,PRF-Hurt,12.380952380952381
490595,Neutral,16.176470588235293
527433,Neutral,60.71428571428571
573724,Neutral,38.46153846153847
833860,Neutral,93.05555555555556
855410,PRF-Hurt,110.86956521739131
915593,Neutral,48.03921568627451
962179,PRF-Hurt,33.33333333333333
