qid,smv
1037798,0.24678870305224002
104861,0.21996229345523402
1063750,0.11345971577544839
1103812,0.27349659774118557
1106007,0.24454307492269067
1110199,0.19582470053953216
1112341,0.34822882542809164
1113437,0.14969214146786722
1114646,0.33062941013305197
1114819,0.2072671758471313
1115776,0.42683326009679085
1117099,0.3488517710874725
1121402,0.22342781050619778
1121709,0.3465681407374348
1124210,0.2439200917678677
1129237,0.2519289280945381
1133167,0.04054913869610507
130510,0.4819103058667913
131843,0.5548949852021754
146187,0.38816122182765006
148538,0.3773044297171637
156493,0.09952857680189883
168216,0.16024501760571966
182539,0.2808221027625209
183378,0.27583751616043345
19335,0.08836780744353828
207786,0.24058430996147745
264014,0.08180898638099673
359349,0.2630446684545738
405717,0.20540285381924797
443396,0.3299587131918067
451602,0.1261919303811464
47923,0.23144319249565093
489204,0.14979997536404915
490595,0.08690612750853254
527433,0.5978965378091031
573724,0.08051143095868675
833860,0.17585082818579117
855410,0.26687474260368677
87181,0.23279450885232844
87452,0.25558091386186976
915593,0.4281851561543197
962179,0.27762271323665866
