qid,uef
1037798,5.104251484073176
104861,7.093672768315087
1063750,10.017462406338582
1103812,3.2464336049611875
1106007,6.1062772056204775
1110199,9.134777256616768
1112341,0.0
1113437,11.183596430366071
1114646,0.0
1114819,8.809123876412787
1115776,0.0
1117099,0.0
1121402,7.112525223752644
1121709,0.0
1124210,5.257114922966202
1129237,5.382543506742776
1133167,24.247614671230398
130510,0.0
131843,0.0
146187,0.0
148538,0.0
156493,18.225712020069267
168216,12.847623457334098
182539,2.7640968739011815
183378,3.284273577176127
19335,18.82085526492834
207786,5.893907489896673
264014,20.20391974548884
359349,4.170736380207499
405717,8.658748138555572
443396,0.0
451602,13.482947046029281
47923,6.397921413624467
489204,12.063624559062674
490595,17.56122242186538
527433,0.0
573724,21.13488240837238
833860,11.593924091897506
855410,3.392103910299399
87181,6.774903951661954
87452,4.5526918725332575
915593,0.0
962179,3.2435801374690896
