qid,wig
1037798,23.87340965270996
104861,40.27997341156006
1063750,29.981623077392577
1103812,33.93540096282959
1106007,37.76787452697754
1110199,34.37158603668213
1112341,19.92466793060303
1113437,49.04948139190674
1114646,45.46129512786865
1114819,39.10272483825683
1115776,34.192080116271974
1117099,37.306464195251465
1121402,39.30503044128418
1121709,18.716919136047366
1124210,44.17410049438477
1129237,30.138268089294435
1133167,40.86655063629151
130510,43.14551753997802
131843,40.073800659179696
146187,38.66678066253662
148538,36.05545787811279
156493,33.834964752197266
168216,47.63621940612792
182539,35.566578483581544
183378,45.21511821746826
19335,28.726927947998043
207786,33.53819618225098
264014,32.899106407165526
359349,48.30214366912841
405717,44.733833122253415
443396,29.73026180267334
451602,36.07510108947754
47923,39.41488552093506
489204,31.95235118865967
490595,42.597972488403315
527433,36.233334350585935
573724,34.1576639175415
833860,37.1068037033081
855410,25.334499931335447
87181,41.878722953796384
87452,34.79707851409912
915593,36.52467060089111
962179,38.84975967407226
