qid,a_only_clicks,b_only_clicks,both_clicks,total_clicks,discriminative_clicks,b_preference_ratio,preference
104861,23,57,30,110,80,0.7125,PRF-Benefit
130510,12,30,93,135,42,0.7142857142857143,PRF-Benefit
131843,1,25,84,110,26,0.9615384615384616,PRF-Benefit
146187,27,8,85,120,35,0.22857142857142856,PRF-Hurt
148538,12,33,57,102,45,0.7333333333333333,PRF-Benefit
156493,17,19,113,149,36,0.5277777777777778,Neutral
1037798,3,40,55,98,43,0.9302325581395349,PRF-Benefit
1063750,20,6,30,56,26,0.23076923076923078,PRF-Hurt
1103812,8,4,70,82,12,0.3333333333333333,PRF-Hurt
1106007,30,40,74,144,70,0.5714285714285714,Neutral
1110199,30,51,47,128,81,0.6296296296296297,PRF-Benefit
1112341,50,6,1,57,56,0.10714285714285714,PRF-Hurt
1113437,44,57,31,132,101,0.5643564356435643,Neutral
1114646,22,29,92,143,51,0.5686274509803921,Neutral
1114819,35,35,70,140,70,0.5,Neutral
1115776,11,6,62,79,17,0.35294117647058826,PRF-Hurt
1117099,29,28,83,140,57,0.49122807017543857,Neutral
1121402,0,0,151,151,0,,Insufficient-Data
1121709,0,0,46,46,0,,Insufficient-Data
1124210,37,39,27,103,76,0.5131578947368421,Neutral
1129237,38,42,50,130,80,0.525,Neutral
1133167,54,49,63,166,103,0.47572815533980584,Neutral
19335,21,34,27,82,55,0.6181818181818182,PRF-Benefit
47923,18,14,113,145,32,0.4375,Neutral
87181,49,38,70,157,87,0.4367816091954023,Neutral
87452,6,3,10,19,9,0.3333333333333333,PRF-Hurt
168216,41,35,102,178,76,0.4605263157894737,Neutral
182539,9,9,48,66,18,0.5,Neutral
183378,47,46,40,133,93,0.4946236559139785,Neutral
207786,13,13,47,73,26,0.5,Neutral
264014,56,50,42,148,106,0.4716981132075472,Neutral
359349,34,21,76,131,55,0.38181818181818183,PRF-Hurt
405717,2,19,68,89,21,0.9047619047619048,PRF-Benefit
443396,6,25,38,69,31,0.8064516129032258,PRF-Benefit
451602,31,20,26,77,51,0.39215686274509803,PRF-Hurt
489204,44,29,32,105,73,0.3972602739726027,PRF-Hurt
490595,41,46,49,136,87,0.5287356321839081,Neutral
527433,6,5,45,56,11,0.45454545454545453,Neutral
573724,67,69,20,156,136,0.5073529411764706,Neutral
833860,8,10,54,72,18,0.5555555555555556,Neutral
855410,1,0,45,46,1,0.0,PRF-Hurt
915593,17,12,73,102,29,0.41379310344827586,Neutral
962179,43,21,68,132,64,0.328125,PRF-Hurt
