qid,total_docs,A-Only,B-Only,Both,Easy-Negative
1037798,9,3,3,3,0
104861,9,4,4,0,1
1063750,9,4,4,1,0
1103812,9,4,4,0,1
1106007,9,3,3,2,1
1110199,9,3,3,3,0
1112341,9,4,4,0,1
1113437,9,4,4,1,0
1114646,9,2,2,4,1
1114819,9,3,3,3,0
1115776,9,2,2,4,1
1117099,9,4,4,0,1
1121402,9,2,2,4,1
1121709,9,4,4,1,0
1124210,9,4,4,1,0
1129237,9,4,4,0,1
1133167,9,4,4,0,1
130510,9,4,4,0,1
131843,9,4,4,0,1
146187,9,4,4,0,1
148538,9,4,4,1,0
156493,9,4,4,0,1
168216,9,3,3,3,0
182539,9,2,2,4,1
183378,9,4,4,1,0
19335,9,4,4,1,0
207786,9,3,3,2,1
264014,9,4,4,0,1
359349,9,3,3,2,1
405717,9,3,3,2,1
443396,9,4,4,0,1
451602,9,4,4,0,1
47923,9,4,4,0,1
489204,9,4,4,0,1
490595,9,4,4,0,1
527433,9,3,3,2,1
573724,9,4,4,1,0
833860,9,4,4,0,1
855410,9,3,3,2,1
87181,9,3,3,2,1
87452,9,4,4,1,0
915593,9,4,4,0,1
962179,9,4,4,0,1
TOTAL,387,153,153,51,30
